POPULATION_NAME,FISCAL_YEAR,RACE_GRP,TOTAL_CT,MHS1_CT,MHS5_CT
Alameda - Fee For Service,2020,R6 Other,15281.0,841.0,177.0
Alameda - Fee For Service,2021,R2 Asian or Pacific Islander,18141.0,581.0,90.0
Alameda - Fee For Service,2021,R3 Black,10237.0,1019.0,243.0
Alameda - Fee For Service,2021,R4 Hispanic,29162.0,430.0,82.0
Alameda - Fee For Service,2021,R5 White,9469.0,993.0,279.0
Alameda - Fee For Service,2021,R6 Other,15374.0,825.0,179.0
Alameda - Fee For Service,2022,R2 Asian or Pacific Islander,16739.0,501.0,67.0
Alameda - Fee For Service,2022,R3 Black,9368.0,797.0,193.0
Alameda - Fee For Service,2022,R4 Hispanic,29759.0,423.0,88.0
Alameda - Fee For Service,2022,R5 White,8293.0,793.0,213.0
Alameda - Fee For Service,2022,R6 Other,15302.0,753.0,190.0
Alameda - Fee For Service,2019,R3 Black,12277.0,645.0,403.0
Alameda - Fee For Service,2019,R4 Hispanic,36435.0,312.0,162.0
Alameda - Fee For Service,2019,R5 White,11260.0,655.0,462.0
Alameda - Fee For Service,2019,R6 Other,12294.0,422.0,298.0
Alameda - Fee For Service,2019,R7 Unknown,5724.0,210.0,139.0
Alameda - Fee For Service,2020,R2 Asian or Pacific Islander,19852.0,185.0,138.0
Alameda - Fee For Service,2020,R3 Black,11022.0,563.0,379.0
Alameda - Fee For Service,2020,R5 White,10898.0,568.0,413.0
Alameda - Fee For Service,2020,R6 Other,15137.0,465.0,319.0
Alameda - Fee For Service,2020,R7 Unknown,5164.0,218.0,153.0
Alameda - Fee For Service,2021,R2 Asian or Pacific Islander,18017.0,153.0,128.0
Alameda - Fee For Service,2021,R3 Black,10089.0,528.0,369.0
Alameda - Fee For Service,2021,R5 White,9392.0,493.0,360.0
Alameda - Fee For Service,2021,R6 Other,15168.0,538.0,381.0
Alameda - Fee For Service,2021,R7 Unknown,4833.0,200.0,129.0
Alameda - Fee For Service,2022,R2 Asian or Pacific Islander,16638.0,148.0,112.0
Alameda - Fee For Service,2022,R3 Black,9207.0,492.0,352.0
Alameda - Fee For Service,2022,R5 White,8224.0,469.0,365.0
Alameda - Fee For Service,2022,R6 Other,15097.0,545.0,391.0
Alameda - Fee For Service,2022,R7 Unknown,4761.0,180.0,134.0
Alameda - MCP ALL,2019,R1 Alaskan Native or American Indian,657.0,92.0,21.0
Alameda - MCP ALL,2019,R2 Asian or Pacific Islander,60796.0,3754.0,848.0
Alameda - MCP ALL,2019,R3 Black,41386.0,5346.0,1327.0
Alameda - MCP ALL,2019,R4 Hispanic,37026.0,3831.0,822.0
Alameda - MCP ALL,2019,R5 White,31075.0,4673.0,1685.0
Alameda - MCP ALL,2019,R6 Other,38715.0,4919.0,1459.0
Alameda - MCP ALL,2019,R7 Unknown,10025.0,1207.0,338.0
Alameda - MCP ALL,2020,R1 Alaskan Native or American Indian,602.0,80.0,22.0
Alameda - MCP ALL,2020,R2 Asian or Pacific Islander,57496.0,3312.0,783.0
Alameda - MCP ALL,2020,R3 Black,38092.0,4863.0,1403.0
Alameda - MCP ALL,2020,R4 Hispanic,35937.0,3385.0,787.0
Alameda - MCP ALL,2020,R5 White,27918.0,4151.0,1512.0
Alameda - MCP ALL,2020,R6 Other,46281.0,5782.0,1841.0
Alameda - MCP ALL,2020,R7 Unknown,9126.0,1147.0,324.0
Alameda - MCP ALL,2021,R1 Alaskan Native or American Indian,610.0,90.0,37.0
Alameda - MCP ALL,2021,R2 Asian or Pacific Islander,57592.0,3298.0,909.0
Alameda - MCP ALL,2021,R3 Black,36725.0,4663.0,1606.0
Alameda - MCP ALL,2021,R4 Hispanic,37491.0,3560.0,1003.0
Alameda - MCP ALL,2021,R5 White,27416.0,4004.0,1549.0
Alameda - MCP ALL,2021,R6 Other,56477.0,6947.0,2500.0
Alameda - MCP ALL,2021,R7 Unknown,8457.0,1067.0,342.0
Alameda - MCP ALL,2022,R1 Alaskan Native or American Indian,665.0,96.0,39.0
Alameda - MCP ALL,2022,R2 Asian or Pacific Islander,61983.0,3359.0,869.0
Alameda - MCP ALL,2022,R3 Black,38544.0,4554.0,1477.0
Alameda - MCP ALL,2022,R4 Hispanic,43765.0,3746.0,1029.0
Alameda - MCP ALL,2022,R5 White,29532.0,3951.0,1475.0
Alameda - MCP ALL,2022,R6 Other,66751.0,7818.0,2760.0
Alameda - MCP ALL,2022,R7 Unknown,10218.0,1101.0,327.0
Alameda - MCP ALL,2019,R1 Alaskan Native or American Indian,657.0,34.0,20.0
Alameda - MCP ALL,2019,R2 Asian or Pacific Islander,60796.0,789.0,623.0
Alameda - MCP ALL,2019,R3 Black,41386.0,2619.0,1702.0
Alameda - MCP ALL,2019,R4 Hispanic,37026.0,1020.0,634.0
Alameda - MCP ALL,2019,R5 White,31075.0,1658.0,1177.0
Alameda - MCP ALL,2019,R6 Other,38715.0,1569.0,1075.0
Alameda - MCP ALL,2019,R7 Unknown,10025.0,666.0,503.0
Alameda - MCP ALL,2020,R1 Alaskan Native or American Indian,602.0,34.0,19.0
Alameda - MCP ALL,2020,R2 Asian or Pacific Islander,57495.0,735.0,588.0
Alameda - MCP ALL,2020,R3 Black,38092.0,2374.0,1655.0
Alameda - MCP ALL,2020,R4 Hispanic,35937.0,914.0,602.0
Alameda - MCP ALL,2020,R5 White,27918.0,1503.0,1046.0
Alameda - MCP ALL,2020,R6 Other,46281.0,1839.0,1263.0
Alameda - MCP ALL,2020,R7 Unknown,9126.0,651.0,507.0
Alameda - MCP ALL,2021,R1 Alaskan Native or American Indian,610.0,32.0,23.0
Alameda - MCP ALL,2021,R2 Asian or Pacific Islander,57591.0,718.0,575.0
Alameda - MCP ALL,2021,R3 Black,36724.0,2210.0,1619.0
Alameda - MCP ALL,2021,R4 Hispanic,37491.0,956.0,644.0
Alameda - MCP ALL,2021,R5 White,27416.0,1311.0,973.0
Alameda - MCP ALL,2021,R6 Other,56477.0,2044.0,1493.0
Alameda - MCP ALL,2021,R7 Unknown,8457.0,558.0,453.0
Alameda - MCP ALL,2022,R1 Alaskan Native or American Indian,665.0,38.0,22.0
Alameda - MCP ALL,2022,R2 Asian or Pacific Islander,61980.0,730.0,570.0
Alameda - MCP ALL,2022,R3 Black,38543.0,2248.0,1617.0
Alameda - MCP ALL,2022,R4 Hispanic,43764.0,946.0,657.0
Alameda - MCP ALL,2022,R5 White,29531.0,1246.0,903.0
Alameda - MCP ALL,2022,R6 Other,66751.0,2352.0,1660.0
Alameda - MCP ALL,2022,R7 Unknown,10218.0,580.0,458.0
Alpine,2020,R4 Hispanic,11.0,0.0,0.0
Alpine,2022,R4 Hispanic,12.0,0.0,0.0
Alpine,2019,R1 Alaskan Native or American Indian,119.0,22.0,14.0
Alpine,2019,R4 Hispanic,11.0,0.0,0.0
Alpine,2019,R7 Unknown,17.0,0.0,0.0
Alpine,2020,R4 Hispanic,11.0,0.0,0.0
Alpine,2021,R7 Unknown,20.0,0.0,0.0
Alpine,2022,R7 Unknown,21.0,0.0,0.0
Alpine - Fee For Service,2019,R7 Unknown,17.0,0.0,0.0
Alpine - Fee For Service,2020,R1 Alaskan Native or American Indian,24.0,0.0,0.0
Alpine - Fee For Service,2021,R1 Alaskan Native or American Indian,22.0,0.0,0.0
Alpine - Fee For Service,2022,R1 Alaskan Native or American Indian,20.0,0.0,0.0
Alpine - Fee For Service,2019,R7 Unknown,13.0,0.0,0.0
Alpine - Fee For Service,2021,R7 Unknown,16.0,0.0,0.0
Alpine - Fee For Service,2022,R7 Unknown,13.0,0.0,0.0
Alpine - MCP ALL,2019,R1 Alaskan Native or American Indian,93.0,19.0,13.0
Amador,2019,R5 White,4447.0,456.0,98.0
Amador,2019,R7 Unknown,417.0,38.0,13.0
Amador,2020,R4 Hispanic,569.0,52.0,11.0
Amador,2020,R5 White,4362.0,519.0,144.0
Amador,2021,R4 Hispanic,661.0,57.0,14.0
Amador,2021,R5 White,4554.0,532.0,175.0
Amador,2021,R7 Unknown,477.0,42.0,12.0
Amador,2022,R4 Hispanic,710.0,47.0,12.0
Amador,2022,R5 White,4851.0,541.0,155.0
Amador,2022,R7 Unknown,597.0,74.0,17.0
Amador,2019,R4 Hispanic,557.0,37.0,23.0
Amador,2019,R5 White,4440.0,453.0,251.0
Amador,2019,R7 Unknown,408.0,36.0,19.0
Amador,2020,R4 Hispanic,567.0,36.0,18.0
Amador,2020,R5 White,4351.0,432.0,248.0
Amador,2020,R7 Unknown,396.0,30.0,17.0
Amador,2021,R4 Hispanic,656.0,34.0,15.0
Amador,2021,R5 White,4543.0,416.0,262.0
Amador,2021,R7 Unknown,459.0,32.0,19.0
Amador,2022,R4 Hispanic,708.0,53.0,29.0
Amador,2022,R5 White,4842.0,459.0,267.0
Amador,2022,R7 Unknown,577.0,40.0,27.0
Amador - Fee For Service,2019,R5 White,1134.0,83.0,11.0
Amador - Fee For Service,2020,R3 Black,11.0,0.0,0.0
Amador - Fee For Service,2020,R4 Hispanic,198.0,14.0,0.0
Amador - Fee For Service,2020,R5 White,1172.0,118.0,32.0
Amador - Fee For Service,2021,R5 White,1234.0,114.0,33.0
Amador - Fee For Service,2022,R2 Asian or Pacific Islander,20.0,0.0,0.0
Amador - Fee For Service,2022,R3 Black,11.0,0.0,0.0
Amador - Fee For Service,2022,R5 White,1234.0,104.0,14.0
Amador - Fee For Service,2019,R5 White,1127.0,120.0,60.0
Amador - Fee For Service,2020,R5 White,1161.0,105.0,53.0
Amador - Fee For Service,2021,R5 White,1223.0,98.0,63.0
Amador - Fee For Service,2022,R5 White,1225.0,107.0,67.0
Amador - MCP ALL,2019,R5 White,3313.0,373.0,87.0
Amador - MCP ALL,2019,R7 Unknown,274.0,30.0,13.0
Amador - MCP ALL,2020,R4 Hispanic,371.0,38.0,11.0
Amador - MCP ALL,2020,R5 White,3190.0,401.0,112.0
Amador - MCP ALL,2021,R4 Hispanic,444.0,48.0,13.0
Amador - MCP ALL,2021,R5 White,3320.0,418.0,142.0
Amador - MCP ALL,2022,R5 White,3617.0,437.0,141.0
Amador - MCP ALL,2022,R7 Unknown,343.0,60.0,16.0
Amador - MCP ALL,2019,R4 Hispanic,379.0,30.0,17.0
Amador - MCP ALL,2019,R5 White,3313.0,333.0,191.0
Amador - MCP ALL,2019,R7 Unknown,274.0,28.0,16.0
Amador - MCP ALL,2020,R4 Hispanic,371.0,28.0,15.0
Amador - MCP ALL,2020,R5 White,3190.0,327.0,195.0
Amador - MCP ALL,2020,R6 Other,39.0,0.0,0.0
Amador - MCP ALL,2020,R7 Unknown,253.0,20.0,14.0
Amador - MCP ALL,2021,R4 Hispanic,444.0,27.0,14.0
Amador - MCP ALL,2021,R5 White,3320.0,318.0,199.0
Amador - MCP ALL,2021,R7 Unknown,269.0,23.0,14.0
Amador - MCP ALL,2022,R4 Hispanic,515.0,41.0,25.0
Amador - MCP ALL,2022,R5 White,3617.0,352.0,200.0
Amador - MCP ALL,2022,R7 Unknown,343.0,26.0,18.0
Butte,2019,R1 Alaskan Native or American Indian,998.0,192.0,67.0
Butte,2019,R2 Asian or Pacific Islander,3519.0,179.0,43.0
Butte,2019,R3 Black,1565.0,165.0,32.0
Butte,2019,R4 Hispanic,9501.0,806.0,197.0
Butte,2019,R5 White,37327.0,5542.0,1757.0
Butte,2019,R6 Other,910.0,108.0,41.0
Butte,2019,R7 Unknown,4519.0,601.0,171.0
Butte,2020,R1 Alaskan Native or American Indian,949.0,171.0,56.0
Butte,2020,R2 Asian or Pacific Islander,3429.0,173.0,45.0
Butte,2020,R3 Black,1539.0,182.0,53.0
Butte,2020,R4 Hispanic,9370.0,896.0,259.0
Butte,2020,R5 White,34945.0,5896.0,2043.0
Butte,2020,R6 Other,905.0,104.0,31.0
Butte,2020,R7 Unknown,4273.0,596.0,187.0
Butte,2021,R1 Alaskan Native or American Indian,917.0,174.0,62.0
Butte,2021,R2 Asian or Pacific Islander,3249.0,177.0,48.0
Butte,2021,R3 Black,1527.0,192.0,57.0
Butte,2021,R4 Hispanic,9600.0,1107.0,311.0
Butte,2021,R5 White,34290.0,6504.0,2392.0
Butte,2021,R6 Other,1022.0,125.0,51.0
Butte,2021,R7 Unknown,4211.0,620.0,215.0
Butte,2022,R1 Alaskan Native or American Indian,953.0,162.0,45.0
Butte,2022,R2 Asian or Pacific Islander,3151.0,167.0,39.0
Butte,2022,R3 Black,1640.0,199.0,45.0
Butte,2022,R4 Hispanic,10560.0,1092.0,277.0
Butte,2022,R5 White,35578.0,5970.0,1953.0
Butte,2022,R6 Other,1385.0,128.0,42.0
Butte,2022,R7 Unknown,4600.0,601.0,197.0
Butte,2019,R1 Alaskan Native or American Indian,995.0,59.0,34.0
Butte,2019,R2 Asian or Pacific Islander,3516.0,163.0,120.0
Butte,2019,R3 Black,1559.0,118.0,82.0
Butte,2019,R4 Hispanic,9485.0,388.0,244.0
Butte,2019,R5 White,37237.0,2854.0,1861.0
Butte,2019,R6 Other,907.0,37.0,24.0
Butte,2019,R7 Unknown,4431.0,382.0,284.0
Butte,2020,R1 Alaskan Native or American Indian,945.0,56.0,31.0
Butte,2020,R2 Asian or Pacific Islander,3427.0,134.0,112.0
Butte,2020,R3 Black,1533.0,126.0,79.0
Butte,2020,R4 Hispanic,9358.0,341.0,227.0
Butte,2020,R5 White,34871.0,2571.0,1732.0
Butte,2020,R6 Other,900.0,42.0,33.0
Butte,2020,R7 Unknown,4188.0,347.0,243.0
Butte,2021,R1 Alaskan Native or American Indian,915.0,43.0,33.0
Butte,2021,R2 Asian or Pacific Islander,3247.0,114.0,90.0
Butte,2021,R3 Black,1525.0,125.0,78.0
Butte,2021,R4 Hispanic,9587.0,373.0,231.0
Butte,2021,R5 White,34232.0,2355.0,1563.0
Butte,2021,R6 Other,1017.0,53.0,38.0
Butte,2021,R7 Unknown,4126.0,276.0,199.0
Butte,2022,R1 Alaskan Native or American Indian,952.0,36.0,22.0
Butte,2022,R2 Asian or Pacific Islander,3150.0,84.0,58.0
Butte,2022,R3 Black,1635.0,101.0,62.0
Butte,2022,R4 Hispanic,10543.0,350.0,230.0
Butte,2022,R5 White,35520.0,2124.0,1468.0
Butte,2022,R6 Other,1382.0,57.0,38.0
Butte,2022,R7 Unknown,4479.0,240.0,166.0
Butte - Fee For Service,2019,R4 Hispanic,2733.0,89.0,12.0
Butte - Fee For Service,2019,R5 White,9342.0,868.0,222.0
Butte - Fee For Service,2019,R7 Unknown,1693.0,112.0,16.0
Butte - Fee For Service,2020,R4 Hispanic,2675.0,124.0,26.0
Butte - Fee For Service,2020,R5 White,9001.0,1153.0,305.0
Butte - Fee For Service,2020,R7 Unknown,1565.0,129.0,27.0
Butte - Fee For Service,2021,R1 Alaskan Native or American Indian,206.0,40.0,19.0
Butte - Fee For Service,2021,R4 Hispanic,2456.0,140.0,27.0
Butte - Fee For Service,2021,R5 White,7687.0,1093.0,377.0
Butte - Fee For Service,2021,R6 Other,231.0,28.0,12.0
Butte - Fee For Service,2021,R7 Unknown,1508.0,146.0,42.0
Butte - Fee For Service,2022,R1 Alaskan Native or American Indian,198.0,36.0,14.0
Butte - Fee For Service,2022,R4 Hispanic,2448.0,125.0,28.0
Butte - Fee For Service,2022,R5 White,7419.0,1042.0,326.0
Butte - Fee For Service,2022,R7 Unknown,1587.0,150.0,39.0
Butte - Fee For Service,2019,R1 Alaskan Native or American Indian,240.0,15.0,11.0
Butte - Fee For Service,2019,R3 Black,322.0,25.0,17.0
Butte - Fee For Service,2019,R4 Hispanic,2717.0,87.0,61.0
Butte - Fee For Service,2019,R5 White,9252.0,772.0,509.0
Butte - Fee For Service,2019,R7 Unknown,1605.0,116.0,88.0
Butte - Fee For Service,2020,R2 Asian or Pacific Islander,606.0,20.0,17.0
Butte - Fee For Service,2020,R3 Black,320.0,32.0,25.0
Butte - Fee For Service,2020,R4 Hispanic,2663.0,74.0,50.0
Butte - Fee For Service,2020,R5 White,8927.0,704.0,481.0
Butte - Fee For Service,2020,R7 Unknown,1480.0,103.0,69.0
Butte - Fee For Service,2021,R3 Black,249.0,23.0,17.0
Butte - Fee For Service,2021,R4 Hispanic,2443.0,74.0,45.0
Butte - Fee For Service,2021,R5 White,7629.0,555.0,387.0
Butte - Fee For Service,2021,R7 Unknown,1423.0,81.0,63.0
Butte - Fee For Service,2022,R3 Black,250.0,20.0,13.0
Butte - Fee For Service,2022,R4 Hispanic,2431.0,52.0,37.0
Butte - Fee For Service,2022,R5 White,7364.0,513.0,353.0
Butte - Fee For Service,2022,R7 Unknown,1468.0,73.0,50.0
Butte - MCP ALL,2019,R1 Alaskan Native or American Indian,755.0,158.0,57.0
Butte - MCP ALL,2019,R2 Asian or Pacific Islander,2923.0,159.0,40.0
Butte - MCP ALL,2019,R3 Black,1237.0,143.0,29.0
Butte - MCP ALL,2019,R4 Hispanic,6768.0,717.0,185.0
Butte - MCP ALL,2019,R5 White,27985.0,4674.0,1535.0
Butte - MCP ALL,2019,R6 Other,693.0,95.0,35.0
Butte - MCP ALL,2019,R7 Unknown,2826.0,489.0,155.0
Butte - MCP ALL,2020,R1 Alaskan Native or American Indian,720.0,135.0,46.0
Butte - MCP ALL,2020,R2 Asian or Pacific Islander,2821.0,154.0,38.0
Butte - MCP ALL,2020,R3 Black,1213.0,150.0,45.0
Butte - MCP ALL,2020,R4 Hispanic,6695.0,772.0,233.0
Butte - MCP ALL,2020,R5 White,25944.0,4743.0,1738.0
Butte - MCP ALL,2020,R6 Other,671.0,82.0,23.0
Butte - MCP ALL,2020,R7 Unknown,2708.0,467.0,160.0
Butte - MCP ALL,2021,R1 Alaskan Native or American Indian,711.0,134.0,43.0
Butte - MCP ALL,2021,R2 Asian or Pacific Islander,2749.0,157.0,44.0
Butte - MCP ALL,2021,R3 Black,1276.0,171.0,52.0
Butte - MCP ALL,2021,R4 Hispanic,7144.0,967.0,284.0
Butte - MCP ALL,2021,R5 White,26603.0,5411.0,2015.0
Butte - MCP ALL,2021,R6 Other,791.0,97.0,39.0
Butte - MCP ALL,2021,R7 Unknown,2703.0,474.0,173.0
Butte - MCP ALL,2022,R1 Alaskan Native or American Indian,755.0,126.0,31.0
Butte - MCP ALL,2022,R2 Asian or Pacific Islander,2672.0,142.0,33.0
Butte - MCP ALL,2022,R3 Black,1385.0,177.0,43.0
Butte - MCP ALL,2022,R4 Hispanic,8112.0,967.0,249.0
Butte - MCP ALL,2022,R5 White,28159.0,4928.0,1627.0
Butte - MCP ALL,2022,R6 Other,1132.0,103.0,36.0
Butte - MCP ALL,2022,R7 Unknown,3013.0,451.0,158.0
Butte - MCP ALL,2019,R1 Alaskan Native or American Indian,755.0,44.0,23.0
Butte - MCP ALL,2019,R2 Asian or Pacific Islander,2923.0,144.0,110.0
Butte - MCP ALL,2019,R3 Black,1237.0,93.0,65.0
Butte - MCP ALL,2019,R4 Hispanic,6768.0,301.0,183.0
Butte - MCP ALL,2019,R5 White,27985.0,2082.0,1352.0
Butte - MCP ALL,2019,R6 Other,693.0,25.0,20.0
Butte - MCP ALL,2019,R7 Unknown,2826.0,266.0,196.0
Butte - MCP ALL,2020,R1 Alaskan Native or American Indian,720.0,40.0,21.0
Butte - MCP ALL,2020,R2 Asian or Pacific Islander,2821.0,114.0,95.0
Butte - MCP ALL,2020,R3 Black,1213.0,94.0,54.0
Butte - MCP ALL,2020,R4 Hispanic,6695.0,267.0,177.0
Butte - MCP ALL,2020,R5 White,25944.0,1867.0,1251.0
Butte - MCP ALL,2020,R6 Other,671.0,36.0,27.0
Butte - MCP ALL,2020,R7 Unknown,2708.0,244.0,174.0
Butte - MCP ALL,2021,R1 Alaskan Native or American Indian,711.0,33.0,23.0
Butte - MCP ALL,2021,R2 Asian or Pacific Islander,2749.0,99.0,76.0
Butte - MCP ALL,2021,R3 Black,1276.0,102.0,61.0
Butte - MCP ALL,2021,R4 Hispanic,7144.0,299.0,186.0
Butte - MCP ALL,2021,R5 White,26603.0,1800.0,1176.0
Butte - MCP ALL,2021,R6 Other,791.0,32.0,27.0
Butte - MCP ALL,2021,R7 Unknown,2703.0,195.0,136.0
Butte - MCP ALL,2022,R1 Alaskan Native or American Indian,755.0,26.0,14.0
Butte - MCP ALL,2022,R2 Asian or Pacific Islander,2672.0,72.0,51.0
Butte - MCP ALL,2022,R3 Black,1385.0,81.0,49.0
Butte - MCP ALL,2022,R4 Hispanic,8112.0,298.0,193.0
Butte - MCP ALL,2022,R5 White,28156.0,1611.0,1115.0
Butte - MCP ALL,2022,R6 Other,1132.0,45.0,34.0
Butte - MCP ALL,2022,R7 Unknown,3011.0,167.0,116.0
Calaveras,2019,R4 Hispanic,1012.0,65.0,15.0
Calaveras,2019,R5 White,6828.0,737.0,181.0
Calaveras,2020,R4 Hispanic,1060.0,77.0,16.0
Calaveras,2020,R5 White,6802.0,853.0,218.0
Calaveras,2021,R4 Hispanic,1055.0,95.0,18.0
Calaveras,2021,R5 White,6878.0,929.0,243.0
Calaveras,2021,R7 Unknown,541.0,60.0,11.0
Calaveras,2022,R4 Hispanic,1216.0,115.0,24.0
Calaveras,2022,R5 White,7206.0,887.0,201.0
Calaveras,2022,R7 Unknown,721.0,66.0,13.0
Calaveras,2019,R4 Hispanic,1012.0,56.0,37.0
Calaveras,2019,R5 White,6822.0,459.0,265.0
Calaveras,2019,R7 Unknown,483.0,32.0,19.0
Calaveras,2020,R4 Hispanic,1060.0,63.0,38.0
Calaveras,2020,R5 White,6795.0,383.0,238.0
Calaveras,2020,R7 Unknown,481.0,37.0,25.0
Calaveras,2021,R4 Hispanic,1053.0,62.0,42.0
Calaveras,2021,R5 White,6865.0,432.0,274.0
Calaveras,2021,R7 Unknown,525.0,30.0,20.0
Calaveras,2022,R4 Hispanic,1213.0,64.0,36.0
Calaveras,2022,R5 White,7190.0,450.0,249.0
Calaveras,2022,R7 Unknown,695.0,34.0,19.0
Calaveras - Fee For Service,2019,R5 White,1657.0,146.0,23.0
Calaveras - Fee For Service,2020,R5 White,1698.0,172.0,33.0
Calaveras - Fee For Service,2021,R5 White,1603.0,183.0,32.0
Calaveras - Fee For Service,2022,R5 White,1569.0,142.0,33.0
Calaveras - Fee For Service,2019,R2 Asian or Pacific Islander,30.0,0.0,0.0
Calaveras - Fee For Service,2019,R5 White,1651.0,121.0,73.0
Calaveras - Fee For Service,2020,R2 Asian or Pacific Islander,23.0,0.0,0.0
Calaveras - Fee For Service,2020,R5 White,1691.0,113.0,72.0
Calaveras - Fee For Service,2021,R2 Asian or Pacific Islander,23.0,0.0,0.0
Calaveras - Fee For Service,2021,R5 White,1590.0,114.0,84.0
Calaveras - Fee For Service,2022,R5 White,1553.0,109.0,65.0
Calaveras - MCP ALL,2019,R4 Hispanic,707.0,57.0,13.0
Calaveras - MCP ALL,2019,R5 White,5171.0,591.0,158.0
Calaveras - MCP ALL,2020,R4 Hispanic,732.0,64.0,13.0
Calaveras - MCP ALL,2020,R5 White,5104.0,681.0,185.0
Calaveras - MCP ALL,2021,R4 Hispanic,737.0,79.0,14.0
Calaveras - MCP ALL,2021,R5 White,5275.0,746.0,211.0
Calaveras - MCP ALL,2022,R4 Hispanic,885.0,98.0,21.0
Calaveras - MCP ALL,2022,R5 White,5637.0,745.0,168.0
Calaveras - MCP ALL,2019,R4 Hispanic,707.0,45.0,30.0
Calaveras - MCP ALL,2019,R5 White,5171.0,338.0,192.0
Calaveras - MCP ALL,2020,R4 Hispanic,732.0,49.0,29.0
Calaveras - MCP ALL,2020,R5 White,5104.0,270.0,166.0
