All Causes of Death Rates  Table for California by County
"All Races (includes Hispanic/Latino), Male, All Ages, 2019-2023"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Nevada County",06057,764.3 ,734.9, 794.7,600,stable,0.7 ,-0.3, 4.2
"San Luis Obispo County",06079,763.7 ,745.1, 782.8,1365,rising,1.0 ,0.3, 2.7
"Orange County",06059,747.7 ,741.6, 753.8,12091,stable,-0.3 ,-1.9, 0.6
"Contra Costa County",06013,741.2 ,731.4, 751.2,4463,stable,0.8 ,0.0, 2.3
"Napa County",06055,740.2 ,715, 766.1,681,stable,-0.2 ,-1.4, 2.6
"Monterey County",06053,736.5 ,720, 753.4,1554,rising,1.2 ,0.1, 3.6
"Sierra County",06091,726.5 ,583.8, 901.7,22,stable,-1.5 ,-11.7, 1.1
"Santa Cruz County",06087,726 ,705.4, 747,1028,rising,1.7 ,0.3, 4.0
"San Francisco County",06075,714.4 ,703.8, 725.2,3556,stable,1.1 ,-0.2, 2.1
"Alameda County",06001,707.9 ,699.5, 716.3,5698,stable,-0.7 ,-2.2, 0.3
"Santa Clara County",06085,616.1 ,609, 623.4,5836,stable,-1.0 ,-2.4, 0.0
"San Mateo County",06081,610.5 ,599.8, 621.3,2550,stable,0.1 ,-0.7, 1.7
"Marin County",06041,610.3 ,593.6, 627.3,1095,rising,1.4 ,0.5, 2.8
"Mono County",06051,500.3 ,431.8, 577.3,42,rising,9.4 ,0.2, 16.8

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 6/8/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Death data provided by the National Vital Statistics System [ https://www.cdc.gov/nchs/nvss/index.htm ]. 


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population [https://www.seer.cancer.gov/stdpopulations/stdpop.20ages.html] (20 age groups: <1, 1-4, 5-9, ... , 80-84, 85-89, 90+). Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for mortality data. \n"
State Health Departments [ https://www.usa.gov/state-health ] may provide more current or more local data.
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint Regression Program (Version 4.9.0.0). Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
"For more information about All Causes of Death, see the definitions at http://hdpulse.nimhd.nih.gov/data/cod.html#all."
Data for United States does not include Puerto Rico.

"Please note that the data comes from different sources. Due to different years ( https://hdpulse.nimhd.nih.gov/data/historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting mortality statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional deaths) has a dramatic effect on the calculated rate."
"Rural-Urban Continuum Codes (developed by the United States Department of Agriculture (USDA) [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx ] ) are used on this website to distinguish which counties are rural and urban; additionally, how much of a state’s population is classified as rural or urban. For more information about using Rural-Urban Continuum Codes, go to the rural urban [ http://hdpulse.nimhd.nih.gov/data/ruralurban.html ] page."

